# Investor email queue (extra file for tracker follow-up sync)
# Campaign: user-provided VC/angel list. Human paste into Zoho as founder@verdansc.com.
# Not auto-send. Not the scraped-PM cold-email gate.
# Window: 10:00–10:50 America/Denver, weekdays only, 6 notes/day (under the 5–8 cap).
# Status: queued. Do not put the compiled email list in this file.
# Phone tracker PWA (outreach-tracker/slots.js on cursor/outreach-phone-tracker-6306) does not include these I-slots yet.
id,datetime_mt,channel,copy_path,ad_path,audience,from_address,mail_system,cta,status,variant,notes
I01,2026-09-03 10:00:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I02,2026-09-03 10:10:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,seed,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I03,2026-09-03 10:20:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,proptech,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I04,2026-09-03 10:30:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,generalist,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I05,2026-09-03 10:40:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I06,2026-09-03 10:50:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,seed,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I07,2026-09-04 10:00:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,proptech,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I08,2026-09-04 10:10:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,generalist,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I09,2026-09-04 10:20:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I10,2026-09-04 10:30:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,seed,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I11,2026-09-04 10:40:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,proptech,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I12,2026-09-04 10:50:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,generalist,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I13,2026-09-07 10:00:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I14,2026-09-07 10:10:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,seed,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I15,2026-09-07 10:20:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,proptech,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
