id,datetime_mt,channel,copy_path,ad_path,audience,facebook_group,from_address,mail_system,craigslist_account,cta,status
S01,2026-09-03 07:00:00,facebook_group,marketing/facebook/small-business-short.md,marketing/ads/exports/verdansc-split-ad-4x5.png,Albuquerque Small Business Community; owner-operators; first post = short SB + 4x5 still,Albuquerque Small Business Community,,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_sb_invite&utm_content=short,queued
S02,2026-09-03 07:40:00,craigslist,marketing/craigslist/ad-copy.md#post-a,marketing/craigslist/images/nob-hill-courtyard-apartments.png,albuquerque.craigslist.org housing wanted; Downtown ABQ + Nob Hill + Rio Rancho,,,,mrigwe234@gmail.com,https://verdansc.com/credit-check,queued
S03,2026-09-03 08:20:00,facebook_dm,marketing/facebook/replies-and-dms.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Inbound Messenger only (S01); skip if none,Albuquerque Small Business Community,,,,https://www.verdansc.com/credit-check?utm_source=facebook&utm_medium=dm&utm_campaign=abq_invite&utm_content=followup,queued
S04,2026-09-03 09:00:00,email,marketing/outreach/email-sequence.md#email-1-intro,marketing/ads/exports/verdansc-split-ad-16x9.jpg,T&C Management <tandcmanagement@tandcmanagement.com>; intro; ABQ+Rio Rancho PM,,founder@verdansc.com,Zoho Mail (smtp.zoho.com later-send only),,https://verdansc.com/signup?role=landlord&plan=landlord-growth,queued
S05,2026-09-03 09:40:00,email,marketing/outreach/email-sequence.md#email-1-intro,marketing/ads/exports/verdansc-split-ad-16x9.jpg,Monarch Properties Inc <mpi@monarchnm.com>; intro; AMI disclaimer,,founder@verdansc.com,Zoho Mail (smtp.zoho.com later-send only),,https://verdansc.com/signup?role=landlord&plan=landlord-growth,queued
S06,2026-09-04 07:00:00,facebook_group,marketing/facebook/small-business-short.md,marketing/ads/exports/verdansc-split-ad-4x5.png,New Mexico Small Businesses; not Thursday group,New Mexico Small Businesses,,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_sb_invite&utm_content=short,queued
S07,2026-09-04 07:40:00,craigslist,marketing/craigslist/ad-copy.md#post-b,marketing/craigslist/images/nob-hill-courtyard-apartments.png,albuquerque.craigslist.org housing wanted; greater Albuquerque seeker voice,,,,mrigwe234@gmail.com,https://verdansc.com/credit-check,queued
S08,2026-09-04 08:20:00,facebook_dm,marketing/facebook/replies-and-dms.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Inbound Messenger only (S06); skip if none,New Mexico Small Businesses,,,,https://www.verdansc.com/listings?utm_source=facebook&utm_medium=dm&utm_campaign=abq_invite&utm_content=followup,queued
S09,2026-09-04 09:00:00,email,marketing/outreach/email-sequence.md#email-1-intro,marketing/ads/exports/verdansc-split-ad-16x9.jpg,Country Club Lofts / Rembe Design <marketing@rembedesign.com>; intro 1:1; lofts/flats,,founder@verdansc.com,Zoho Mail (smtp.zoho.com later-send only),,https://verdansc.com/signup?role=landlord&plan=landlord-growth,queued
S10,2026-09-04 09:40:00,email,marketing/outreach/email-sequence.md#email-1-intro,marketing/ads/exports/verdansc-split-ad-16x9.jpg,Bryten Real Estate Partners <contactus@livebryten.com>; partnership intro only; not community blast,,founder@verdansc.com,Zoho Mail (smtp.zoho.com later-send only),,https://verdansc.com/signup?role=landlord&plan=landlord-growth,queued
S11,2026-09-05 07:00:00,craigslist,marketing/craigslist/ad-copy.md#post-c,marketing/craigslist/images/downtown-abq-loft-exterior.png,albuquerque.craigslist.org housing wanted; Downtown ABQ + Nob Hill loft/flat,,,,mrigwe234@gmail.com,https://verdansc.com/credit-check,queued
S12,2026-09-05 07:40:00,facebook_group,marketing/facebook/small-business-long.md,marketing/ads/exports/verdansc-split-ad-4x5.png,ABQ SMALL BUSINESS; confirm promo rules; new group,ABQ SMALL BUSINESS,,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_sb_invite&utm_content=long,queued
S13,2026-09-05 08:20:00,facebook_first_comment,marketing/facebook/replies-and-dms.md,,Same group as S12; first comment not a second post,ABQ SMALL BUSINESS,,,,https://www.verdansc.com/credit-check?utm_source=facebook&utm_medium=group&utm_campaign=abq_invite&utm_content=first_comment,queued
S14,2026-09-05 09:00:00,facebook_dm,marketing/facebook/replies-and-dms.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Inbound Messenger only (S12); skip if none,ABQ SMALL BUSINESS,,,,https://www.verdansc.com/credit-check?utm_source=facebook&utm_medium=dm&utm_campaign=abq_invite&utm_content=followup,queued
S15,2026-09-05 09:40:00,facebook_reply_window,marketing/facebook/replies-and-dms.md,,Open comment threads from S01/S06/S12; reply snippets only,Albuquerque Small Business Community; New Mexico Small Businesses; ABQ SMALL BUSINESS,,,,https://www.verdansc.com/pricing?utm_source=facebook&utm_medium=group&utm_campaign=abq_invite&utm_content=reply,queued
S16,2026-09-06 07:00:00,facebook_group,marketing/facebook/small-business-long.md,marketing/ads/exports/verdansc-split-ad-4x5.png,Support Small Business metro (ABQ / Los Lunas / Rio Rancho / Edgewood); new group,"Support Small Business, Albuquerque, Los Lunas, Rio Rancho, Edgewood",,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_sb_invite&utm_content=long,queued
S17,2026-09-06 07:40:00,craigslist,marketing/craigslist/ad-copy.md#post-a,marketing/craigslist/images/rio-rancho-apartment-exterior.png,albuquerque.craigslist.org housing wanted; Rio Rancho primary,,,,mrigwe234@gmail.com,https://verdansc.com/credit-check,queued
S18,2026-09-06 08:20:00,facebook_first_comment,marketing/facebook/first-comment-hashtags-alt.md,,Same Support Small Business group as S16,"Support Small Business, Albuquerque, Los Lunas, Rio Rancho, Edgewood",,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_invite&utm_content=first_comment,queued
S19,2026-09-06 09:00:00,facebook_reply_window,marketing/facebook/replies-and-dms.md,,Open Sat-Sun Facebook threads,"ABQ SMALL BUSINESS; Support Small Business, Albuquerque, Los Lunas, Rio Rancho, Edgewood",,,,https://www.verdansc.com/pricing?utm_source=facebook&utm_medium=group&utm_campaign=abq_invite&utm_content=reply,queued
S20,2026-09-06 09:40:00,facebook_dm,marketing/facebook/replies-and-dms.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Inbound Messenger only; skip if none,"Support Small Business, Albuquerque, Los Lunas, Rio Rancho, Edgewood",,,,https://www.verdansc.com/signup?role=landlord&plan=landlord-growth&utm_source=facebook&utm_medium=dm&utm_campaign=abq_invite&utm_content=followup,queued
S21,2026-09-07 07:00:00,facebook_group,marketing/facebook/small-business-short.md,marketing/ads/exports/verdansc-split-ad-4x5.png,ABQ Community Services / Small Business; new group,ABQ Community Services / Small Business,,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_sb_invite&utm_content=short,queued
S22,2026-09-07 07:40:00,craigslist,marketing/craigslist/ad-copy.md#post-b,marketing/craigslist/images/nob-hill-courtyard-apartments.png,albuquerque.craigslist.org housing wanted; metro ABQ + Rio Rancho,,,,mrigwe234@gmail.com,https://verdansc.com/credit-check,queued
S23,2026-09-07 08:20:00,facebook_first_comment,marketing/facebook/replies-and-dms.md,,Same group as S21,ABQ Community Services / Small Business,,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_invite&utm_content=first_comment,queued
S24,2026-09-07 09:00:00,email,marketing/outreach/email-sequence.md#email-2-value,marketing/ads/exports/verdansc-split-ad-16x9.jpg,T&C Management <tandcmanagement@tandcmanagement.com>; value follow-up day 4,,founder@verdansc.com,Zoho Mail (smtp.zoho.com later-send only),,https://verdansc.com/signup?role=landlord&plan=landlord-growth,queued
S25,2026-09-07 09:40:00,facebook_dm,marketing/facebook/replies-and-dms.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Inbound Messenger only; skip if none,ABQ Community Services / Small Business,,,,https://www.verdansc.com/credit-check?utm_source=facebook&utm_medium=dm&utm_campaign=abq_invite&utm_content=followup,queued
S26,2026-09-08 07:00:00,facebook_group,marketing/facebook/small-business-short.md,marketing/ads/exports/verdansc-split-ad-4x5.png,Albuquerque Business Owners; new group,Albuquerque Business Owners,,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_sb_invite&utm_content=short,queued
S27,2026-09-08 07:40:00,craigslist,marketing/craigslist/ad-copy.md#post-c,marketing/craigslist/images/downtown-abq-loft-exterior.png,albuquerque.craigslist.org housing wanted; Downtown + Nob Hill,,,,mrigwe234@gmail.com,https://verdansc.com/credit-check,queued
S28,2026-09-08 08:20:00,facebook_dm,marketing/facebook/replies-and-dms.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Inbound Messenger only; skip if none,Albuquerque Business Owners,,,,https://www.verdansc.com/listings?utm_source=facebook&utm_medium=dm&utm_campaign=abq_invite&utm_content=followup,queued
S29,2026-09-08 09:00:00,email,marketing/outreach/email-sequence.md#email-2-value,marketing/ads/exports/verdansc-split-ad-16x9.jpg,Monarch Properties Inc <mpi@monarchnm.com>; value follow-up day 5,,founder@verdansc.com,Zoho Mail (smtp.zoho.com later-send only),,https://verdansc.com/signup?role=landlord&plan=landlord-growth,queued
S30,2026-09-08 09:40:00,email,marketing/outreach/email-sequence.md#email-2-value,marketing/ads/exports/verdansc-split-ad-16x9.jpg,Country Club Lofts / Rembe Design <marketing@rembedesign.com>; value follow-up day 4,,founder@verdansc.com,Zoho Mail (smtp.zoho.com later-send only),,https://verdansc.com/signup?role=landlord&plan=landlord-growth,queued
S31,2026-09-09 07:00:00,facebook_group,marketing/facebook/small-business-short.md,marketing/ads/exports/verdansc-split-ad-4x5.png,Albuquerque Small Business Owners; new group,Albuquerque Small Business Owners,,,,https://www.verdansc.com/rental-application?utm_source=facebook&utm_medium=group&utm_campaign=abq_sb_invite&utm_content=short,queued
S32,2026-09-09 07:40:00,craigslist,marketing/craigslist/ad-copy.md#post-a,marketing/craigslist/images/rio-rancho-apartment-exterior.png,albuquerque.craigslist.org housing wanted; Rio Rancho + greater Albuquerque,,,,mrigwe234@gmail.com,https://verdansc.com/credit-check,queued
S33,2026-09-09 08:20:00,facebook_first_comment,marketing/facebook/replies-and-dms.md,,Same group as S31,Albuquerque Small Business Owners,,,,https://www.verdansc.com/credit-check?utm_source=facebook&utm_medium=group&utm_campaign=abq_invite&utm_content=first_comment,queued
S34,2026-09-09 09:00:00,facebook_dm,marketing/facebook/replies-and-dms.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Inbound Messenger only; skip if none,Albuquerque Small Business Owners,,,,https://www.verdansc.com/signup?role=landlord&plan=landlord-growth&utm_source=facebook&utm_medium=dm&utm_campaign=abq_invite&utm_content=followup,queued
S35,2026-09-09 09:40:00,facebook_reply_window,marketing/facebook/replies-and-dms.md,,Remaining week threads; honor admin takedown requests,Remaining S01-S31 SB group threads,,,,https://www.verdansc.com/pricing?utm_source=facebook&utm_medium=group&utm_campaign=abq_invite&utm_content=reply,queued
I01,2026-09-03 10:00:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I02,2026-09-03 10:10:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I03,2026-09-03 10:20:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I04,2026-09-03 10:30:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
